vendor,month,avg_price
Loblaws,2024-06,5.99
Loblaws,2024-07,5.99
Loblaws,2024-08,5.99
Loblaws,2024-09,5.990000000000001
Loblaws,2024-10,5.351290322580645
Loblaws,2024-11,5.0
Metro,2024-06,5.49
Metro,2024-07,5.5194117647058825
Metro,2024-08,5.490000000000001
Metro,2024-09,5.49
Metro,2024-10,5.49
Metro,2024-11,5.49
NoFrills,2024-06,4.99
NoFrills,2024-07,4.99
NoFrills,2024-08,4.99
NoFrills,2024-09,3.426428571428571
NoFrills,2024-10,4.861612903225807
NoFrills,2024-11,4.99
Walmart,2024-10,4.47
Walmart,2024-11,4.47
